Date       Time        Year        Longitude Latitude  swh_20hz_ku  swh_20hz_c swh_2
2011-08-05 03:00:45.28 2011.5922 27.239687 58.825687    0.057       -0.023   9999.000
2011-08-05 03:00:45.33 2011.5922 27.243565 58.823994    0.000        0.221   9999.000
2011-08-05 03:00:45.38 2011.5922 27.247442 58.822300    0.000       -0.023   9999.000
2011-08-05 03:00:45.43 2011.5922 27.251318 58.820610    0.048       -0.023   9999.000
2011-08-05 03:00:45.49 2011.5922 27.255196 58.818916    0.000       -0.023   9999.000
2011-08-05 03:00:45.54 2011.5922 27.259071 58.817223    0.000        0.430   9999.000
2011-08-05 03:00:45.59 2011.5922 27.262947 58.815529    0.082       -0.023   9999.000
2011-08-05 03:00:45.64 2011.5922 27.266823 58.813835    0.042        0.262   9999.000
2011-08-05 03:00:45.69 2011.5922 27.270699 58.812141    0.000        0.061   9999.000
2011-08-05 03:00:45.74 2011.5922 27.274572 58.810448    0.000       -0.023   9999.000
2011-08-05 03:00:45.79 2011.5922 27.278446 58.808754    0.035        0.300   9999.000
2011-08-05 03:00:45.84 2011.5922 27.282320 58.807060    0.000        0.059   9999.000
2011-08-05 03:00:45.89 2011.5922 27.286194 58.805367    0.000        0.545   9999.000
2011-08-05 03:00:45.94 2011.5922 27.290066 58.803673    0.039        0.024   9999.000
2011-08-05 03:00:46.00 2011.5922 27.293940 58.801975    0.000        0.152   9999.000
2011-08-05 03:00:46.05 2011.5922 27.297812 58.800282    0.000        0.065   9999.000
2011-08-05 03:00:46.10 2011.5922 27.301682 58.798588   -0.002        0.066   9999.000
2011-08-05 03:00:46.15 2011.5922 27.305553 58.796894   -0.002       -0.017   9999.000
2011-08-05 03:00:46.20 2011.5922 27.309423 58.795197    0.025        0.058   9999.000
2011-08-05 03:00:46.25 2011.5922 27.313295 58.793503    0.085        0.267   9999.000
2011-08-05 03:00:46.30 2011.5922 27.317165 58.791809    0.039        0.154   9999.000
2011-08-05 03:00:46.35 2011.5922 27.321035 58.790112    0.227        0.118   9999.000
2011-08-05 03:00:46.40 2011.5922 27.324903 58.788418   -0.002        0.226   9999.000
2011-08-05 03:00:46.45 2011.5922 27.328773 58.786720    0.010        0.034   9999.000
2011-08-05 03:00:46.51 2011.5922 27.332642 58.785027    0.075       -0.017   9999.000
2011-08-05 03:00:46.56 2011.5922 27.336510 58.783329    0.053       -0.017   9999.000
2011-08-05 03:00:46.61 2011.5922 27.340378 58.781635    0.189       -0.017   9999.000
2011-08-05 03:00:46.66 2011.5922 27.344244 58.779938    0.067       -0.017   9999.000
2011-08-05 03:00:46.71 2011.5922 27.348112 58.778240   -0.002        0.058   9999.000
2011-08-05 03:00:46.76 2011.5922 27.351978 58.776546   -0.002       -0.017   9999.000
2011-08-05 03:00:46.81 2011.5922 27.355844 58.774849   -0.002       -0.017   9999.000
2011-08-05 03:00:46.86 2011.5922 27.359711 58.773151    0.163        0.233   9999.000
2011-08-05 03:00:46.91 2011.5922 27.363575 58.771458    0.284        0.140   9999.000
2011-08-05 03:00:46.96 2011.5922 27.367439 58.769760    0.133       -0.017   9999.000
2011-08-05 03:00:47.02 2011.5922 27.371305 58.768063   -0.002        0.507   9999.000
2011-08-05 03:00:47.07 2011.5922 27.375170 58.766365    0.082       -0.017   9999.000
2011-08-05 03:00:47.12 2011.5922 27.379032 58.764668    0.118        0.068   9999.000
2011-08-05 03:00:47.17 2011.5922 27.382896 58.762970    0.114        0.234   9999.000
2011-08-05 03:00:47.22 2011.5922 27.386759 58.761272    0.029       -0.028   9999.000
2011-08-05 03:00:47.27 2011.5922 27.390621 58.759575    0.066        0.089   9999.000
2011-08-05 03:00:47.32 2011.5922 27.394484 58.757877    0.074        0.006   9999.000
2011-08-05 03:00:47.37 2011.5922 27.398346 58.756180    0.038        0.139   9999.000
2011-08-05 03:00:47.42 2011.5922 27.402206 58.754482    0.000        0.225   9999.000
2011-08-05 03:00:47.47 2011.5922 27.406069 58.752785    0.000       -0.014   9999.000
2011-08-05 03:00:47.52 2011.5922 27.409927 58.751083    0.000        0.417   9999.000
2011-08-05 03:00:47.58 2011.5922 27.413790 58.749386    0.076        0.018   9999.000
2011-08-05 03:00:47.63 2011.5922 27.417648 58.747688    0.027        0.757   9999.000
2011-08-05 03:00:47.68 2011.5922 27.421509 58.745991    0.000        0.065   9999.000
2011-08-05 03:00:47.73 2011.5922 27.425367 58.744289    0.000        2.891   9999.000
2011-08-05 03:00:47.78 2011.5922 27.429224 58.742592    0.000     9999.000   9999.000
2011-08-05 03:00:47.83 2011.5922 27.433083 58.740894 9999.000     9999.000   9999.000
2011-08-05 03:00:47.88 2011.5922 27.436941 58.739193 9999.000     9999.000   9999.000
2011-08-05 03:00:47.93 2011.5922 27.440800 58.737495 9999.000     9999.000   9999.000
2011-08-05 03:00:47.98 2011.5922 27.444656 58.735794 9999.000     9999.000   9999.000
2011-08-05 03:00:48.03 2011.5922 27.448511 58.734097 9999.000     9999.000   9999.000
2011-08-05 03:00:48.09 2011.5922 27.452368 58.732395 9999.000     9999.000   9999.000
2011-08-05 03:00:48.14 2011.5922 27.456224 58.730694 9999.000     9999.000   9999.000
2011-08-05 03:00:48.19 2011.5922 27.460079 58.728996 9999.000     9999.000   9999.000
2011-08-05 03:00:48.24 2011.5922 27.463936 58.727295 9999.000     9999.000   9999.000
2011-08-05 03:00:48.29 2011.5922 27.467789 58.725594 9999.000     9999.000   9999.000
2011-08-05 03:00:48.34 2011.5922 27.471643 58.723896 9999.000     9999.000   9999.000
2011-08-05 03:00:48.39 2011.5922 27.475496 58.722195 9999.000     9999.000   9999.000
2011-08-05 03:00:48.44 2011.5922 27.479351 58.720493 9999.000     9999.000   9999.000
2011-08-05 03:00:48.49 2011.5922 27.483204 58.718792 9999.000     9999.000   9999.000
2011-08-05 03:00:48.54 2011.5922 27.487057 58.717091 9999.000     9999.000   9999.000
2011-08-05 03:00:48.60 2011.5922 27.490910 58.715389 9999.000        1.395   9999.000
2011-08-05 03:00:48.65 2011.5922 27.494761 58.713692 9999.000        1.018   9999.000
2011-08-05 03:00:48.70 2011.5922 27.498611 58.711990 9999.000        1.019   9999.000
2011-08-05 03:00:48.75 2011.5922 27.502462 58.710285 9999.000        1.287   9999.000
2011-08-05 03:00:48.80 2011.5922 27.506313 58.708588 9999.000        1.088   9999.000
2011-08-05 03:00:48.85 2011.5922 27.510164 58.706882 9999.000     9999.000   9999.000
2011-08-05 03:00:48.90 2011.5922 27.514013 58.705181 9999.000     9999.000   9999.000
2011-08-05 03:00:48.95 2011.5922 27.517862 58.703480 9999.000     9999.000   9999.000
2011-08-05 03:00:49.00 2011.5922 27.521711 58.701778 9999.000     9999.000   9999.000
2011-08-05 03:00:49.05 2011.5922 27.525560 58.700077 9999.000     9999.000   9999.000
2011-08-05 03:00:49.11 2011.5922 27.529409 58.698376 9999.000     9999.000   9999.000
2011-08-05 03:00:49.16 2011.5922 27.533257 58.696671 9999.000     9999.000   9999.000
2011-08-05 03:00:49.21 2011.5922 27.537106 58.694969 9999.000     9999.000   9999.000
2011-08-05 03:00:49.26 2011.5922 27.540953 58.693268 9999.000     9999.000   9999.000
2011-08-05 03:00:49.31 2011.5922 27.544800 58.691563 9999.000     9999.000   9999.000
2011-08-05 03:00:49.36 2011.5922 27.548645 58.689861 9999.000     9999.000   9999.000
2011-08-05 03:00:49.41 2011.5922 27.552490 58.688156 9999.000     9999.000   9999.000
2011-08-05 03:00:49.46 2011.5922 27.556335 58.686455 9999.000     9999.000   9999.000
2011-08-05 03:00:49.51 2011.5922 27.560181 58.684750 9999.000     9999.000   9999.000
2011-08-05 03:00:49.56 2011.5922 27.564026 58.683048 9999.000     9999.000   9999.000
2011-08-05 03:00:49.61 2011.5922 27.567869 58.681343 9999.000     9999.000   9999.000
2011-08-05 03:00:49.67 2011.5922 27.571714 58.679642 9999.000     9999.000   9999.000
2011-08-05 03:00:49.72 2011.5922 27.575558 58.677937 9999.000     9999.000   9999.000
2011-08-05 03:00:49.77 2011.5922 27.579401 58.676231 9999.000     9999.000   9999.000
2011-08-05 03:00:49.82 2011.5922 27.583244 58.674530 9999.000     9999.000   9999.000
2011-08-05 03:00:49.87 2011.5922 27.587086 58.672825 9999.000     9999.000   9999.000
2011-08-05 03:00:49.92 2011.5922 27.590927 58.671120 9999.000     9999.000   9999.000
2011-08-05 03:00:49.97 2011.5922 27.594770 58.669415 9999.000     9999.000   9999.000
2011-08-05 03:00:50.02 2011.5922 27.598612 58.667709 9999.000     9999.000   9999.000
2011-08-05 03:00:50.07 2011.5922 27.602451 58.666004 9999.000     9999.000   9999.000
2011-08-05 03:00:50.12 2011.5922 27.606293 58.664299 9999.000     9999.000   9999.000
2011-08-05 03:00:50.18 2011.5922 27.610132 58.662598 9999.000     9999.000   9999.000
2011-08-05 03:00:50.23 2011.5922 27.613972 58.660892 9999.000     9999.000   9999.000
2011-08-05 03:00:50.28 2011.5922 27.617811 58.659187 9999.000     9999.000   9999.000
2011-08-05 03:00:50.33 2011.5922 27.621651 58.657482 9999.000     9999.000   9999.000
2011-08-05 03:00:50.38 2011.5922 27.625488 58.655773 9999.000     9999.000   9999.000
2011-08-05 03:00:50.43 2011.5922 27.629326 58.654068 9999.000     9999.000   9999.000
2011-08-05 03:00:50.48 2011.5922 27.633163 58.652363 9999.000     9999.000   9999.000
2011-08-05 03:00:50.53 2011.5922 27.637001 58.650658 9999.000     9999.000   9999.000
2011-08-05 03:00:50.58 2011.5922 27.640839 58.648952 9999.000     9999.000   9999.000
2011-08-05 03:00:50.63 2011.5922 27.644674 58.647247 9999.000     9999.000   9999.000
2011-08-05 03:00:50.69 2011.5922 27.648510 58.645538 9999.000     9999.000   9999.000
2011-08-05 03:00:50.74 2011.5922 27.652346 58.643833 9999.000     9999.000   9999.000
2011-08-05 03:00:50.79 2011.5922 27.656181 58.642124 9999.000     9999.000   9999.000
2011-08-05 03:00:50.84 2011.5922 27.660015 58.640419 9999.000     9999.000   9999.000
2011-08-05 03:00:50.89 2011.5922 27.663851 58.638714 9999.000     9999.000   9999.000
2011-08-05 03:00:50.94 2011.5922 27.667685 58.637005 9999.000     9999.000   9999.000
2011-08-05 03:00:50.99 2011.5922 27.671518 58.635300 9999.000     9999.000   9999.000
2011-08-05 03:00:51.04 2011.5922 27.675352 58.633591 9999.000     9999.000   9999.000
2011-08-05 03:00:51.09 2011.5922 27.679186 58.631886 9999.000     9999.000   9999.000
2011-08-05 03:00:51.14 2011.5922 27.683018 58.630177 9999.000     9999.000   9999.000
2011-08-05 03:00:51.20 2011.5922 27.686850 58.628471    0.000     9999.000   9999.000
2011-08-05 03:00:51.25 2011.5922 27.690681 58.626762 9999.000     9999.000   9999.000
2011-08-05 03:00:51.30 2011.5922 27.694511 58.625053    3.204     9999.000   9999.000
2011-08-05 03:00:51.35 2011.5922 27.698343 58.623348    0.000     9999.000   9999.000
2011-08-05 03:00:51.40 2011.5922 27.702173 58.621639    0.000     9999.000   9999.000
2011-08-05 03:00:51.45 2011.5922 27.706003 58.619930    0.000     9999.000   9999.000
2011-08-05 03:00:51.50 2011.5922 27.709833 58.618221    1.636     9999.000   9999.000
2011-08-05 03:00:51.55 2011.5922 27.713663 58.616512    0.000     9999.000   9999.000
2011-08-05 03:00:51.60 2011.5922 27.717491 58.614807    1.509     9999.000   9999.000
2011-08-05 03:00:51.65 2011.5922 27.721319 58.613098    1.201     9999.000   9999.000
2011-08-05 03:00:51.71 2011.5922 27.725149 58.611389 9999.000     9999.000   9999.000
2011-08-05 03:00:51.76 2011.5922 27.728975 58.609680 9999.000     9999.000   9999.000
2011-08-05 03:00:51.81 2011.5922 27.732803 58.607971 9999.000     9999.000   9999.000
2011-08-05 03:00:51.86 2011.5922 27.736631 58.606262 9999.000     9999.000   9999.000
2011-08-05 03:00:51.91 2011.5922 27.740458 58.604553 9999.000     9999.000   9999.000
2011-08-05 03:00:51.96 2011.5922 27.744284 58.602840 9999.000     9999.000   9999.000
2011-08-05 03:00:52.01 2011.5922 27.748110 58.601131 9999.000     9999.000   9999.000
2011-08-05 03:00:52.06 2011.5922 27.751934 58.599422 9999.000     9999.000   9999.000
2011-08-05 03:00:52.11 2011.5922 27.755760 58.597713 9999.000     9999.000   9999.000
2011-08-05 03:00:52.16 2011.5922 27.759584 58.596004 9999.000     9999.000   9999.000
