Date       Time        Year        Longitude Latitude  swh_20hz_ku  swh_20hz_c swh_2
2011-07-26 05:02:12.62 2011.5649 27.242548 58.828358    0.092        0.304   9999.000
2011-07-26 05:02:12.67 2011.5649 27.246426 58.826664    0.277        0.656   9999.000
2011-07-26 05:02:12.72 2011.5649 27.250303 58.824970    0.206       -0.031   9999.000
2011-07-26 05:02:12.77 2011.5649 27.254181 58.823277   -0.005       -0.031   9999.000
2011-07-26 05:02:12.82 2011.5649 27.258057 58.821583    0.151        0.785   9999.000
2011-07-26 05:02:12.87 2011.5649 27.261934 58.819889    0.013        0.473   9999.000
2011-07-26 05:02:12.92 2011.5649 27.265810 58.818195    0.012       -0.031   9999.000
2011-07-26 05:02:12.98 2011.5649 27.269686 58.816505    0.199       -0.031   9999.000
2011-07-26 05:02:13.03 2011.5649 27.273560 58.814812    0.118        0.399   9999.000
2011-07-26 05:02:13.08 2011.5649 27.277435 58.813114   -0.005        0.297   9999.000
2011-07-26 05:02:13.13 2011.5649 27.281309 58.811420    0.073       -0.031   9999.000
2011-07-26 05:02:13.18 2011.5649 27.285185 58.809727    0.106       -0.031   9999.000
2011-07-26 05:02:13.23 2011.5649 27.289057 58.808033   -0.005        0.151   9999.000
2011-07-26 05:02:13.28 2011.5649 27.292931 58.806339    0.052       -0.031   9999.000
2011-07-26 05:02:13.33 2011.5649 27.296803 58.804646    0.076       -0.031   9999.000
2011-07-26 05:02:13.38 2011.5649 27.300676 58.802952   -0.005       -0.031   9999.000
2011-07-26 05:02:13.43 2011.5649 27.304548 58.801254   -0.005       -0.031   9999.000
2011-07-26 05:02:13.49 2011.5649 27.308418 58.799561 9999.000       -0.017   9999.000
2011-07-26 05:02:13.54 2011.5649 27.312290 58.797867 9999.000        0.430   9999.000
2011-07-26 05:02:13.59 2011.5649 27.316160 58.796169 9999.000       -0.017   9999.000
2011-07-26 05:02:13.64 2011.5649 27.320032 58.794476 9999.000        0.279   9999.000
2011-07-26 05:02:13.69 2011.5649 27.323902 58.792778 9999.000       -0.017   9999.000
2011-07-26 05:02:13.74 2011.5649 27.327770 58.791084 9999.000       -0.017   9999.000
2011-07-26 05:02:13.79 2011.5649 27.331640 58.789391 9999.000       -0.017   9999.000
2011-07-26 05:02:13.84 2011.5649 27.335508 58.787693 9999.000       -0.017   9999.000
2011-07-26 05:02:13.89 2011.5649 27.339378 58.785999 9999.000       -0.017   9999.000
2011-07-26 05:02:13.94 2011.5649 27.343246 58.784302 9999.000       -0.017   9999.000
2011-07-26 05:02:14.00 2011.5649 27.347113 58.782604 9999.000       -0.017   9999.000
2011-07-26 05:02:14.05 2011.5649 27.350981 58.780910 9999.000       -0.017   9999.000
2011-07-26 05:02:14.10 2011.5649 27.354847 58.779213 9999.000     9999.000   9999.000
2011-07-26 05:02:14.15 2011.5649 27.358713 58.777515 9999.000     9999.000   9999.000
2011-07-26 05:02:14.20 2011.5649 27.362579 58.775818 9999.000       -0.017   9999.000
2011-07-26 05:02:14.25 2011.5649 27.366446 58.774120 9999.000     9999.000   9999.000
2011-07-26 05:02:14.30 2011.5649 27.370312 58.772427 9999.000     9999.000   9999.000
2011-07-26 05:02:14.35 2011.5649 27.374176 58.770729 9999.000       -0.017   9999.000
2011-07-26 05:02:14.40 2011.5649 27.378040 58.769032 9999.000     9999.000   9999.000
2011-07-26 05:02:14.45 2011.5649 27.381905 58.767334 9999.000     9999.000   9999.000
2011-07-26 05:02:14.51 2011.5649 27.385767 58.765636 9999.000     9999.000   9999.000
2011-07-26 05:02:14.56 2011.5649 27.389631 58.763939 9999.000     9999.000   9999.000
2011-07-26 05:02:14.61 2011.5649 27.393494 58.762241 9999.000       -0.015   9999.000
