azimuth_deg,distance_m,intersect_lon,intersect_lat,reason
0.0,40108.346,27.637354,59.006481,ok
10.0,30822.601,27.732198,58.918704,ok
20.0,24764.553,27.787094,58.854673,ok
30.0,16472.663,27.782424,58.773584,ok
40.0,12430.423,27.777466,58.730867,ok
50.0,10568.042,27.778675,58.706281,ok
60.0,8549.526,27.766059,58.683765,ok
70.0,7558.766,27.760377,58.668666,ok
80.0,7242.419,27.760512,58.656774,ok
90.0,8151.372,27.777725,58.645366,ok
100.0,9137.877,27.791893,58.630999,ok
110.0,10103.038,27.799881,58.614129,ok
120.0,11830.257,27.812107,58.591927,ok
130.0,15651.855,27.841007,58.554516,ok
140.0,19573.066,27.850124,58.510297,ok
150.0,21141.187,27.815412,58.480984,ok
160.0,22000.286,27.763694,58.460270,ok
170.0,25083.273,27.710332,58.424483,ok
180.0,32841.312,27.637354,58.351575,ok
190.0,51878.105,27.486430,58.187442,ok
200.0,37456.218,27.422299,58.329558,ok
210.0,32271.904,27.365629,58.393959,ok
220.0,34826.837,27.258993,58.404360,ok
230.0,29930.466,27.248180,58.470798,ok
240.0,26980.084,27.239104,58.522239,ok
250.0,26026.586,27.218930,58.563292,ok
260.0,25175.753,27.211741,58.603957,ok
270.0,26953.936,27.173209,58.642943,ok
280.0,27850.313,27.163561,58.686265,ok
290.0,33608.103,27.089825,58.745444,ok
300.0,45518.283,26.950904,58.845616,ok
310.0,46813.470,27.010230,58.912074,ok
320.0,46422.855,27.113351,58.962253,ok
330.0,44521.078,27.244956,58.990392,ok
340.0,42531.447,27.380121,59.004173,ok
350.0,40976.201,27.511262,59.008414,ok
