index,lon,lat,intersect_lon,intersect_lat,distance_m,reason
0,26.503590,58.128624,,,,no_intersection
1,26.578089,58.163490,,,,no_intersection
2,26.652740,58.198307,,,,no_intersection
3,26.727545,58.233078,,,,no_intersection
4,26.802505,58.267796,,,,no_intersection
5,26.877621,58.302467,,,,no_intersection
6,26.952890,58.337086,26.952890,58.807754,52426.58,ok
7,27.028316,58.371658,27.028316,58.774762,44900.83,ok
8,27.103899,58.406178,27.103899,58.736233,36764.06,ok
9,27.179636,58.440647,27.179636,58.638224,22007.56,ok
10,27.255529,58.475067,27.255529,58.991757,57554.30,ok
11,27.331581,58.509441,27.331581,58.999540,54592.53,ok
12,27.407787,58.543758,27.407787,59.005563,51441.00,ok
13,27.484154,58.578030,27.484154,59.008167,47913.65,ok
14,27.560675,58.612247,27.560675,59.008956,44190.13,ok
15,27.637354,58.646416,27.637354,59.006481,40108.35,ok
16,27.714191,58.680531,27.714191,58.994629,34988.15,ok
17,27.791187,58.714596,,,,no_intersection
18,27.868343,58.748608,,,,no_intersection
19,27.945656,58.782570,,,,no_intersection
20,28.023129,58.816483,,,,no_intersection
21,28.100761,58.850338,,,,no_intersection
22,28.178553,58.884144,,,,no_intersection
23,28.256504,58.917900,,,,no_intersection
24,28.334618,58.951599,,,,no_intersection
25,28.412889,58.985249,,,,no_intersection
26,28.491323,59.018845,,,,point_north_of_lake
27,28.569918,59.052387,,,,point_north_of_lake
28,28.648672,59.085876,,,,point_north_of_lake
29,28.727591,59.119312,,,,point_north_of_lake
30,28.806669,59.152695,,,,point_north_of_lake
31,28.885912,59.186024,,,,point_north_of_lake
32,28.965317,59.219299,,,,point_north_of_lake
